,value,value,value,value,value,value,value,value
248,46.0,58.0,50.0,53.0,56.0,52.0,48.0,59
249,45.0,59.0,51.0,52.0,56.0,51.0,54.0,60
250,45.0,60.0,51.0,51.0,58.0,53.0,51.0,59
251,46.0,61.0,52.0,51.0,59.0,57.0,49.0,59
252,47.0,61.0,49.0,50.0,60.0,62.0,47.0,60
253,46.0,60.0,47.0,49.0,59.0,65.0,46.0,58
254,47.0,61.0,48.0,50.0,57.0,68.0,46.0,56
255,46.0,60.0,50.0,49.0,56.0,70.0,47.0,57
256,45.0,59.0,49.0,48.0,54.0,72.0,48.0,58
257,46.0,56.0,48.0,48.0,56.0,73.0,47.0,57
258,47.0,56.0,49.0,49.0,57.0,69.0,45.0,56
259,48.0,58.0,50.0,50.0,56.0,67.0,44.0,57
260,49.0,59.0,51.0,50.0,56.0,66.0,43.0,58
261,50.0,60.0,52.0,50.0,56.0,63.0,43.0,60
262,49.0,62.0,51.0,58.0,55.0,61.0,44.0,59
263,47.0,63.0,50.0,57.0,56.0,60.0,45.0,55
264,46.0,65.0,51.0,56.0,55.0,60.0,46.0,55
265,47.0,66.0,50.0,57.0,54.0,59.0,47.0,54
266,47.0,67.0,51.0,58.0,54.0,62.0,47.0,53
267,46.0,68.0,50.0,58.0,54.0,61.0,53.0,54
268,46.0,69.0,49.0,58.0,55.0,58.0,50.0,54
269,47.0,68.0,50.0,59.0,54.0,60.0,48.0,54
270,48.0,67.0,51.0,60.0,54.0,62.0,45.0,54
271,48.0,68.0,52.0,63.0,55.0,69.0,44.0,55
272,48.0,67.0,55.0,63.0,56.0,83.0,44.0,56
273,46.0,68.0,57.0,61.0,55.0,85.0,46.0,55
274,47.0,67.0,55.0,58.0,54.0,88.0,47.0,54
275,49.0,67.0,53.0,55.0,53.0,90.0,48.0,53
276,48.0,67.0,55.0,52.0,54.0,86.0,48.0,53
277,47.0,68.0,54.0,51.0,55.0,81.0,48.0,52
278,48.0,70.0,48.0,52.0,56.0,77.0,47.0,53
279,49.0,72.0,46.0,53.0,55.0,77.0,46.0,53
280,48.0,71.0,47.0,55.0,55.0,69.0,47.0,52
281,47.0,68.0,48.0,56.0,55.0,68.0,48.0,51
282,46.0,66.0,47.0,58.0,54.0,69.0,46.0,52
283,47.0,64.0,52.0,57.0,55.0,68.0,47.0,53
284,47.0,61.0,55.0,56.0,55.0,66.0,46.0,54
285,47.0,59.0,53.0,56.0,58.0,63.0,47.0,56
286,46.0,59.0,51.0,55.0,56.0,62.0,46.0,60
287,46.0,60.0,48.0,55.0,54.0,62.0,46.0,59
288,47.0,61.0,47.0,55.0,52.0,60.0,47.0,58
289,48.0,62.0,46.0,54.0,53.0,60.0,50.0,57
290,47.0,64.0,48.0,55.0,55.0,62.0,47.0,57
291,47.0,63.0,47.0,56.0,57.0,61.0,48.0,55
292,47.0,64.0,47.0,56.0,56.0,59.0,47.0,54
293,47.0,62.0,49.0,57.0,55.0,56.0,46.0,53
294,48.0,61.0,50.0,56.0,54.0,56.0,45.0,53
295,47.0,61.0,48.0,53.0,53.0,57.0,47.0,54
296,48.0,62.0,47.0,52.0,55.0,60.0,47.0,54
297,47.0,62.0,48.0,53.0,54.0,61.0,47.0,55
298,47.0,63.0,50.0,52.0,54.0,60.0,48.0,56
299,47.0,62.0,51.0,51.0,54.0,57.0,48.0,65
300,48.0,60.0,50.0,54.0,53.0,54.0,47.0,71
301,48.0,60.0,49.0,58.0,53.0,56.0,48.0,69
302,47.0,61.0,48.0,56.0,55.0,56.0,47.0,65
303,48.0,63.0,50.0,55.0,54.0,57.0,46.0,60
304,47.0,63.0,51.0,56.0,55.0,59.0,47.0,59
305,48.0,61.0,48.0,56.0,56.0,63.0,48.0,58
306,47.0,59.0,47.0,55.0,57.0,66.0,47.0,59
307,48.0,58.0,48.0,55.0,56.0,67.0,50.0,60
